iter	MultiClass
0	1.09153305
1	1.084832199
2	1.080080388
3	1.071891751
4	1.060714636
5	1.050687944
6	1.0393926
7	1.033247758
8	1.022837059
9	1.017904185
10	1.010698297
11	0.9988604549
12	0.9920781562
13	0.9816760082
14	0.976355427
15	0.9647184203
16	0.956392687
17	0.9516335916
18	0.9440409975
19	0.9433179806
20	0.9409791799
21	0.9403789239
22	0.9336030165
23	0.9280823541
24	0.9185464475
25	0.9135435244
26	0.9046072191
27	0.8982375856
28	0.8929581869
29	0.8851222786
30	0.8744676809
31	0.8674227256
32	0.8561028695
33	0.8508060753
34	0.8463180697
35	0.8417835569
36	0.8391147887
37	0.8316960918
38	0.8242951303
39	0.8180947374
40	0.8114106226
41	0.8044747841
42	0.8006977276
43	0.8000854613
44	0.7970145469
45	0.7954272564
46	0.789253506
47	0.7864622123
48	0.7787118225
49	0.7722313418
50	0.765761456
51	0.7619134092
52	0.7557985818
53	0.7489495096
54	0.7434933522
55	0.7366110926
56	0.7282131364
57	0.7220628835
58	0.7182209053
59	0.7128015391
60	0.7066342126
61	0.7013465166
62	0.6941894462
63	0.6866061392
64	0.6823243672
65	0.6816413173
66	0.675979192
67	0.6724679566
68	0.6674943883
69	0.6619807497
70	0.6558259657
71	0.6484290102
72	0.6421122755
73	0.6380254937
74	0.6328280023
75	0.6285688088
76	0.6233753546
77	0.6177514888
78	0.6144787216
79	0.6108396475
80	0.6047362141
81	0.5985464621
82	0.5929582447
83	0.5889602074
84	0.5840313123
85	0.5796909305
86	0.5755585912
87	0.5700496415
88	0.5653901088
89	0.5606870563
90	0.5551639714
91	0.5501767997
92	0.5458814834
93	0.5411256887
94	0.5374819826
95	0.5338392146
96	0.5302408166
97	0.5259676624
98	0.5224531893
99	0.5175392219
100	0.5132922895
101	0.5105944556
102	0.5063341685
103	0.5021840704
104	0.4991290414
105	0.4949870834
106	0.4918442324
107	0.4889883288
108	0.4851984424
109	0.4805627155
110	0.477219382
111	0.4736331188
112	0.4674488581
113	0.4638172661
114	0.4596123831
115	0.456419319
116	0.4504488797
117	0.4480297672
118	0.4451475138
119	0.4428163407
120	0.4395060743
121	0.4359767258
122	0.4330070174
123	0.4294874708
124	0.4249052085
125	0.4221586966
126	0.4193894047
127	0.4156560228
128	0.4126173549
129	0.4098557957
130	0.4072514465
131	0.4043385781
132	0.401439699
133	0.3986513093
134	0.3966300226
135	0.3943184044
136	0.3916881796
137	0.3890916809
138	0.3866254903
139	0.383870571
140	0.3811765782
141	0.3788617355
142	0.3760926115
143	0.3736477585
144	0.3714729552
145	0.3687361536
146	0.3655643535
147	0.3621434486
148	0.3596598897
149	0.3568389594
150	0.3557237739
151	0.3536441456
152	0.3523430048
153	0.3496813665
154	0.3470699905
155	0.3450049669
156	0.3431584261
157	0.3403438157
158	0.3385053077
159	0.3361276752
160	0.33410585
161	0.333351437
162	0.3302404989
163	0.3274608375
164	0.3246519782
165	0.3234225318
166	0.3216937225
167	0.3196809488
168	0.3176063655
169	0.3157196533
170	0.3137119715
171	0.3123716542
172	0.3109835115
173	0.30800474
174	0.3064658713
175	0.3047768352
176	0.3033738283
177	0.3019153824
178	0.3001438226
179	0.2986072834
180	0.2973691668
181	0.2958347872
182	0.293891882
183	0.2926322353
184	0.2913041811
185	0.2899811567
186	0.2883290004
187	0.286524024
188	0.2846352776
189	0.2830760248
190	0.2815862969
191	0.2791952016
192	0.277774255
193	0.2764570792
194	0.275189745
195	0.2744345648
196	0.2734140495
197	0.272443855
198	0.2706875973
199	0.2695383703
200	0.2682279801
201	0.2669224086
202	0.265683798
203	0.2647571546
204	0.2637999208
205	0.2621810174
206	0.2602474427
207	0.2589841775
208	0.2575561475
209	0.2564387836
210	0.2549565043
211	0.2534767491
212	0.2522507201
213	0.2513950332
214	0.2500659993
215	0.24852585
216	0.2473695841
217	0.2463702309
218	0.2454460295
219	0.2443547928
220	0.243229178
221	0.2420728845
222	0.2412075817
223	0.2398417924
224	0.2388017853
225	0.2376491761
226	0.2357894228
227	0.2346687868
228	0.233430414
229	0.2323334442
230	0.2312073739
231	0.2297756697
232	0.2288505486
233	0.2280622362
234	0.2264457306
235	0.2253635369
236	0.224242062
237	0.2232742852
238	0.2224257607
239	0.2215429279
240	0.2208256721
241	0.2198938778
242	0.2187801328
243	0.2179611002
244	0.2166589575
245	0.2161574751
246	0.2152004523
247	0.21434668
248	0.2136472608
249	0.2123478592
250	0.211285867
251	0.210565148
252	0.2094007834
253	0.2084769095
254	0.2073079576
255	0.2060967104
256	0.2053982703
257	0.2045830314
258	0.2038871404
259	0.2031750501
260	0.2024524547
261	0.2017679182
262	0.2008926482
263	0.2002341752
264	0.199321637
265	0.1983224377
266	0.1973840461
267	0.1965073885
268	0.1956971622
269	0.1949988745
270	0.1940461453
271	0.1932785317
272	0.192468881
273	0.1914683908
274	0.1907089498
275	0.1896278016
276	0.1887830841
277	0.1881170626
278	0.1872020306
279	0.1865138424
280	0.1858919061
281	0.1852768482
282	0.1842542605
283	0.1833944142
284	0.1822180422
285	0.181517813
286	0.1811333567
287	0.1804354687
288	0.1796242007
289	0.1786021059
290	0.1778639581
291	0.1772877245
292	0.1764928978
293	0.1757460397
294	0.1749973718
295	0.1745081492
296	0.173927387
297	0.1731505827
298	0.1724083265
299	0.1718143516
300	0.1711991954
301	0.1707444764
302	0.1700052454
303	0.1693103526
304	0.1688013617
305	0.1680377958
306	0.1675464486
307	0.1669889884
308	0.1661894363
309	0.165298283
310	0.1648473881
311	0.1642420866
312	0.1637012349
313	0.1631150733
314	0.1625696911
315	0.1619361648
316	0.1613747364
317	0.1607849642
318	0.1602938018
319	0.1597068849
320	0.1588940857
321	0.1585529058
322	0.1582443177
323	0.1577516702
324	0.1573875406
325	0.1567852097
326	0.1562044968
327	0.1556087443
328	0.1545934932
329	0.1539582572
330	0.1534725809
331	0.1530197085
332	0.1523182657
333	0.1515848768
334	0.1510175698
335	0.1506086505
336	0.1501892116
337	0.1496233375
338	0.1489194725
339	0.1484805965
340	0.14793823
341	0.1473529569
342	0.1467308336
343	0.146194355
344	0.1458444167
345	0.145424119
346	0.1450355131
347	0.1446516098
348	0.1442375326
349	0.1436183348
350	0.1430323264
351	0.1424532025
352	0.1421476451
353	0.1418310522
354	0.1414579545
355	0.1410590909
356	0.1406068513
357	0.1401455316
358	0.1396610664
359	0.1393005533
360	0.1388588387
361	0.1383390913
362	0.1377785898
363	0.1371506792
364	0.1367573086
365	0.1363822592
366	0.1359095286
367	0.1353855265
368	0.1350993927
369	0.1345031747
370	0.134067968
371	0.1336809901
372	0.1332300554
373	0.1329645097
374	0.1325232379
375	0.1321886319
376	0.1318150342
377	0.1314174271
378	0.1309635863
379	0.130625036
380	0.130216749
381	0.1298810925
382	0.1295848179
383	0.1292431086
384	0.1290232347
385	0.1287629571
386	0.1283980644
387	0.1281347246
388	0.1277485009
389	0.1272808077
390	0.1269207069
391	0.1263795954
392	0.1259572084
393	0.1254588566
394	0.1251132523
395	0.1247480542
396	0.1242493802
397	0.1238625734
398	0.1234804763
399	0.1230883033
400	0.1226655785
401	0.1222926266
402	0.1219815893
403	0.1216364757
404	0.1213035348
405	0.1209847657
406	0.1207258714
407	0.1203962071
408	0.1200750887
409	0.119610935
410	0.1192572336
411	0.1188794139
412	0.1184961139
413	0.1183189019
414	0.1179443042
415	0.1176794232
416	0.117391657
417	0.11703883
418	0.1167121365
419	0.1164340325
420	0.1158787394
421	0.1155993611
422	0.1153381256
423	0.1149165589
424	0.1146087475
425	0.1142264779
426	0.1138943156
427	0.1135464463
428	0.1132028175
429	0.112872207
430	0.1124607658
431	0.1122346169
432	0.1118504144
433	0.111589481
434	0.1112332972
435	0.1108895575
436	0.1104981719
437	0.1101286036
438	0.1097995456
439	0.1094685122
440	0.1092143694
441	0.1090688794
442	0.1086108746
443	0.1082722032
444	0.107870421
445	0.1075476597
446	0.1072289942
447	0.106924059
448	0.1067213967
449	0.1063322422
450	0.1060976172
451	0.105730308
452	0.105435689
453	0.1051496205
454	0.1046881855
455	0.1043664887
456	0.1042450368
457	0.1039867406
458	0.1037866195
459	0.1033973085
460	0.103183634
461	0.1028727874
462	0.1026615995
463	0.1022972561
464	0.1021041624
465	0.1019557581
466	0.1017282618
467	0.1014343143
468	0.1011535422
