iter	Passed	Remaining
0	14	14737
1	24	12295
2	41	13909
3	55	13774
4	72	14346
5	93	15443
6	104	14808
7	118	14728
8	133	14671
9	151	14972
10	168	15146
11	184	15211
12	200	15255
13	216	15265
14	224	14722
15	239	14732
16	255	14802
17	265	14497
18	283	14617
19	285	14009
20	295	13783
21	298	13275
22	315	13386
23	331	13478
24	350	13666
25	362	13573
26	380	13729
27	397	13796
28	413	13849
29	430	13906
30	447	13979
31	463	14032
32	482	14149
33	498	14169
34	512	14134
35	528	14157
36	533	13885
37	545	13817
38	568	13999
39	586	14070
40	614	14373
41	632	14436
42	647	14400
43	654	14223
44	665	14118
45	670	13909
46	690	13993
47	704	13972
48	723	14047
49	743	14120
50	762	14189
51	772	14079
52	788	14081
53	806	14124
54	822	14140
55	839	14145
56	856	14171
57	874	14205
58	892	14238
59	910	14258
60	927	14275
61	944	14284
62	962	14308
63	980	14343
64	998	14358
65	1003	14197
66	1018	14187
67	1035	14198
68	1053	14208
69	1070	14219
70	1088	14237
71	1105	14242
72	1123	14268
73	1142	14292
74	1158	14290
75	1177	14314
76	1198	14362
77	1218	14401
78	1235	14403
79	1253	14419
80	1273	14446
81	1292	14469
82	1311	14490
83	1330	14506
84	1347	14507
85	1365	14517
86	1382	14508
87	1404	14557
88	1427	14613
89	1445	14613
90	1463	14622
91	1483	14637
92	1502	14653
93	1520	14658
94	1537	14649
95	1553	14631
96	1570	14623
97	1587	14612
98	1611	14668
99	1628	14660
100	1647	14662
101	1666	14667
102	1686	14691
103	1705	14691
104	1722	14678
105	1739	14668
106	1756	14655
107	1774	14653
108	1791	14645
109	1807	14625
110	1825	14623
111	1844	14625
112	1861	14612
113	1878	14602
114	1897	14602
115	1916	14602
116	1935	14609
117	1954	14610
118	1972	14602
119	1988	14579
120	2004	14562
121	2020	14542
122	2036	14522
123	2054	14510
124	2072	14508
125	2089	14491
126	2106	14480
127	2124	14470
128	2140	14454
129	2162	14471
130	2178	14452
131	2195	14433
132	2218	14464
133	2235	14448
134	2253	14438
135	2271	14433
136	2290	14431
137	2310	14434
138	2339	14491
139	2359	14496
140	2378	14490
141	2397	14485
142	2434	14591
143	2503	14880
144	2523	14879
145	2544	14881
146	2563	14877
147	2581	14862
148	2603	14869
149	2625	14875
150	2641	14853
151	2660	14841
152	2679	14831
153	2697	14819
154	2715	14803
155	2732	14781
156	2748	14759
157	2766	14743
158	2784	14728
159	2801	14709
160	2819	14691
161	2837	14677
162	2854	14655
163	2870	14631
164	2886	14607
165	2900	14572
166	2918	14558
167	2936	14541
168	2953	14521
169	2969	14497
170	2986	14476
171	3004	14464
172	3022	14450
173	3039	14430
174	3059	14424
175	3076	14404
176	3092	14380
177	3111	14366
178	3128	14347
179	3145	14329
180	3163	14315
181	3183	14306
182	3199	14284
183	3217	14270
184	3236	14255
185	3254	14241
186	3272	14228
187	3289	14207
188	3305	14185
189	3323	14170
190	3342	14155
191	3360	14140
192	3376	14119
193	3393	14098
194	3411	14083
195	3428	14063
196	3445	14045
197	3463	14027
198	3481	14012
199	3498	13994
200	3516	13979
201	3534	13962
202	3550	13939
203	3570	13933
204	3589	13920
205	3608	13908
206	3627	13895
207	3646	13885
208	3663	13866
209	3680	13847
210	3697	13825
211	3713	13803
212	3730	13783
213	3748	13767
