Actual,Predicted
138,136.27817074416043
105,129.79588882383365
70,128.66560945669465
105,146.86015678225954
76,134.85266840930058
206,120.36720851908822
87,133.68772854006397
53,142.7952199056853
129,136.2617542606328
55,128.28985610187058
9,136.56646701403002
128,137.65339911369026
327,142.83140117292132
41,142.3949258419657
71,138.02826689147207
78,147.10541637139409
470,140.49267702162547
137,142.10452596649426
93,139.14301539006166
179,138.80636102846123
273,142.65038300280372
49,139.85722857501014
52,150.3066247376198
258,136.1710724343991
82,138.02549279182622
59,141.3706562709939
211,136.3907678375278
11,134.9315494205752
8,139.78098604485436
120,134.75389352669555
209,141.84549012264654
69,137.20197891503702
326,136.35277430046418
321,127.35577016529093
59,137.22229550310558
428,138.50685202629086
125,133.61447775941676
130,135.72738447305125
268,138.0029243249309
80,135.5028893356011
164,140.53110048642176
342,130.79830685673713
33,138.3544273150124
130,141.64297525885718
99,136.20428025513286
78,141.65186607752392
94,149.6069025781418
151,136.61227231163514
242,136.49365616314333
14,133.25397583912306
95,145.60321112907067
75,122.59643545660612
113,133.36938648050966
1,148.4698953261615
20,137.74853657806952
306,137.44134734947775
92,140.6278152052241
81,134.81076050494062
74,139.1813024971464
76,128.43102586769976
224,143.65440662112985
185,136.57639939964514
138,136.80831305403046
91,143.6027695941104
269,136.9881654236699
42,142.6445827300053
63,141.71308242136826
59,139.45653031573374
152,140.4942204018271
13,140.8570465886752
83,139.50581992091304
67,136.72058186950557
156,144.20554205418753
41,133.0542574424966
160,142.54420809846158
223,137.93265684888942
250,134.44154207447025
33,141.2605140609162
33,136.01960704340567
41,139.23720255586372
100,140.14315141143635
410,144.87481689324713
75,142.0291472808614
67,126.1838508075811
190,130.7835985721302
76,134.57657058836588
87,131.007134344865
54,132.47853551617044
56,140.76778144174145
197,136.30885019619654
136,133.5425854406759
188,131.57985327592908
30,136.13443402317986
47,132.70457038799688
88,135.51802513620646
175,137.7734922563764
99,134.2733661693303
79,124.97198983695728
69,130.87511132596117
132,135.8568466973828
79,140.10005404701434
285,138.15195971805906
21,130.37442468519362
33,138.53664835052354
117,134.97271604670783
25,140.0575404222178
28,135.76025941208363
66,131.37311203708947
422,134.42932023523105
142,139.71288418618025
295,137.46282381691228
370,136.6339161743712
337,155.29018847634484
25,135.33601135520618
258,127.6013241132429
173,137.86442499402727
283,128.64467124518256
189,135.8047564884707
35,135.6441480651073
151,140.84414942613134
306,138.1293697037959
40,139.01450587893746
184,134.98529011336842
118,136.20543079319248
59,133.90617495871396
82,145.959414787994
103,139.07102828681408
117,140.3742945087365
314,132.28405867162977
267,139.20269713065593
61,130.02839535579233
120,141.31489775899556
68,134.08650574609538
222,118.42768448125766
263,131.79581423730448
382,135.92279597035306
67,146.91716263338637
98,137.81657215018984
25,138.50103423875666
12,142.34100853954095
101,135.47570491068868
220,142.44775467249968
456,146.67637775553868
64,138.62492883898696
243,140.64591701607657
77,132.8404145257295
38,136.85711075933028
120,129.35923976563743
48,144.79143272065974
88,139.4292486651112
420,138.04915359034544
134,139.4879628274224
34,134.34287400291393
333,134.97291620627914
86,139.97475365119027
127,139.87710349524096
184,136.83229899875303
108,132.61564879484158
144,132.4463431125961
217,146.5590801247212
235,140.54951410151537
61,179.87533231512714
63,138.60294039981648
76,141.27543994591701
69,129.83525781794418
83,136.36002334390912
97,133.68822915299455
11,129.83859877516971
12,137.50526390192957
394,127.20684299920752
48,128.30446772659838
58,132.46622962238632
358,134.5399411956756
198,131.0055470918908
107,144.415767595725
52,129.67717119908826
16,135.34723887028767
254,141.97885004452246
